symbol,pe_ratio,sales_millions,revenue_growth,eps_growth,debt_to_equity,gross_margin,operating_margin,fcf_margin,industry_pe,industry_revenue_growth,industry_fcf_margin
NVDA,58,129000,0.72,0.81,0.42,0.74,0.56,0.38,42,0.18,0.16
MSFT,36,245000,0.18,0.21,0.38,0.69,0.44,0.32,34,0.15,0.18
GOOGL,29,350000,0.14,0.17,0.21,0.57,0.30,0.28,30,0.13,0.16
AMD,44,26000,0.22,0.27,0.16,0.49,0.12,0.12,42,0.18,0.16
PLTR,67,3000,0.24,0.33,0.12,0.81,0.16,0.18,38,0.16,0.15
SOUN,0,115,0.47,0.19,0.09,0.71,-0.46,-0.11,36,0.20,0.10
AI,0,340,0.23,0.14,0.05,0.58,-0.23,-0.08,36,0.20,0.10
FFAI,0,15,0.08,-0.22,0.64,-0.18,-1.25,-0.55,28,0.14,0.08
BBAI,0,160,0.16,-0.04,1.18,0.32,-0.17,-0.14,34,0.18,0.10
HIMS,42,1800,0.59,0.02,0.18,0.81,0.05,0.09,31,0.15,0.09
META,27,165000,0.19,0.24,0.18,0.82,0.40,0.31,30,0.13,0.16
AMZN,41,638000,0.12,0.28,0.68,0.49,0.10,0.12,35,0.11,0.10
AVGO,33,52000,0.34,0.39,1.55,0.75,0.45,0.37,42,0.18,0.16
TSM,24,90000,0.21,0.24,0.28,0.54,0.42,0.25,32,0.17,0.14
ARM,78,3900,0.27,0.31,0.04,0.96,0.26,0.22,42,0.18,0.16
MU,31,30000,0.38,0.44,0.34,0.39,0.19,0.12,36,0.17,0.12
SMCI,19,15000,0.45,0.34,0.23,0.15,0.08,0.05,32,0.18,0.10
ORCL,32,57000,0.10,0.13,6.10,0.72,0.32,0.24,34,0.15,0.18
CRM,35,38000,0.11,0.17,0.18,0.76,0.20,0.25,36,0.16,0.15
ADBE,38,22000,0.12,0.16,0.28,0.88,0.35,0.34,36,0.16,0.15
NOW,61,11000,0.23,0.28,0.22,0.79,0.10,0.30,38,0.16,0.15
SNOW,0,3500,0.29,0.12,0.48,0.67,-0.20,-0.04,38,0.20,0.12
CRWD,72,4200,0.31,0.35,0.36,0.76,0.08,0.28,40,0.18,0.13
DDOG,55,2700,0.25,0.22,0.15,0.80,0.04,0.21,38,0.18,0.13
MDB,0,2000,0.20,0.08,1.10,0.74,-0.12,0.02,38,0.18,0.12
PATH,0,1400,0.13,0.06,0.05,0.85,-0.07,0.05,34,0.16,0.10
UPST,0,720,0.18,-0.10,1.32,0.58,-0.18,-0.10,30,0.12,0.08
IONQ,0,44,0.62,0.31,0.08,0.49,-1.10,-0.19,28,0.22,0.07
RGTI,0,14,0.45,0.22,0.18,0.41,-1.45,-0.27,28,0.22,0.07
QBTS,0,12,0.39,0.19,0.24,0.39,-1.35,-0.30,28,0.22,0.07
QUBT,0,3,0.51,0.26,0.11,0.28,-1.80,-0.23,28,0.22,0.07
ARQQ,0,65,0.34,0.10,0.42,0.48,-0.65,-0.18,28,0.22,0.07
IBM,21,64000,0.04,0.07,2.20,0.56,0.16,0.13,28,0.12,0.10
HON,22,39000,0.06,0.08,1.55,0.38,0.22,0.14,28,0.12,0.10
LAES,0,38,0.41,0.12,0.35,0.44,-0.70,-0.20,28,0.22,0.07
