symbol,date,open,high,low,close,volume
NVDA,2026-04-06,932,944,928,941,49800000
NVDA,2026-04-07,942,951,936,949,48700000
NVDA,2026-04-08,950,960,944,957,49100000
NVDA,2026-04-09,958,966,951,963,47600000
NVDA,2026-04-10,964,973,959,970,48200000
NVDA,2026-04-13,971,981,966,978,48900000
NVDA,2026-04-14,979,988,972,985,50100000
NVDA,2026-04-15,985,996,981,993,50800000
NVDA,2026-04-16,994,1002,987,999,49900000
NVDA,2026-04-17,1000,1010,993,1007,50600000
NVDA,2026-04-20,1008,1018,1001,1014,51000000
NVDA,2026-04-21,1015,1026,1008,1021,51400000
MSFT,2026-04-06,451,454,448,453,27100000
MSFT,2026-04-07,453,456,450,455,26600000
MSFT,2026-04-08,455,458,452,457,26800000
MSFT,2026-04-09,458,461,455,459,26400000
MSFT,2026-04-10,459,462,456,460,26700000
MSFT,2026-04-13,460,464,458,463,26900000
MSFT,2026-04-14,463,467,461,466,27300000
MSFT,2026-04-15,466,470,464,468,27500000
MSFT,2026-04-16,468,472,466,470,27900000
MSFT,2026-04-17,470,474,468,472,28100000
MSFT,2026-04-20,472,476,470,474,28400000
MSFT,2026-04-21,474,479,472,477,28600000
GOOGL,2026-04-06,179,181,178,180,23400000
GOOGL,2026-04-07,180,182,179,181,23100000
GOOGL,2026-04-08,181,183,180,182,22800000
GOOGL,2026-04-09,182,184,181,183,22600000
GOOGL,2026-04-10,183,185,182,184,22400000
GOOGL,2026-04-13,184,186,183,185,22300000
GOOGL,2026-04-14,185,187,184,186,22500000
GOOGL,2026-04-15,186,188,185,187,22700000
GOOGL,2026-04-16,187,189,186,188,22900000
GOOGL,2026-04-17,188,190,187,189,23000000
GOOGL,2026-04-20,189,191,188,190,23200000
GOOGL,2026-04-21,190,192,189,191,23500000
AMD,2026-04-06,186,189,184,188,60200000
AMD,2026-04-07,188,191,186,190,59500000
AMD,2026-04-08,190,193,188,192,58900000
AMD,2026-04-09,192,196,190,195,59300000
AMD,2026-04-10,195,198,193,197,60100000
AMD,2026-04-13,197,200,195,199,60700000
AMD,2026-04-14,199,203,197,202,61400000
AMD,2026-04-15,202,205,200,204,62000000
AMD,2026-04-16,204,208,202,207,62500000
AMD,2026-04-17,207,210,205,209,63100000
AMD,2026-04-20,209,213,207,212,63800000
AMD,2026-04-21,212,216,210,215,64200000
PLTR,2026-04-06,31.4,32.1,31.1,31.9,55200000
PLTR,2026-04-07,31.9,32.6,31.5,32.3,54800000
PLTR,2026-04-08,32.3,33,31.9,32.7,55600000
PLTR,2026-04-09,32.7,33.4,32.2,33.1,56300000
PLTR,2026-04-10,33.1,33.8,32.7,33.5,56900000
PLTR,2026-04-13,33.5,34.2,33.1,33.9,57500000
PLTR,2026-04-14,33.9,34.7,33.5,34.4,58200000
PLTR,2026-04-15,34.4,35.1,33.9,34.8,58900000
PLTR,2026-04-16,34.8,35.6,34.4,35.2,59500000
PLTR,2026-04-17,35.2,36,34.8,35.7,60300000
PLTR,2026-04-20,35.7,36.5,35.2,36.1,61100000
PLTR,2026-04-21,36.1,36.9,35.7,36.5,61800000
SOUN,2026-04-06,8.6,8.9,8.4,8.8,38200000
SOUN,2026-04-07,8.8,9.2,8.6,9,38900000
SOUN,2026-04-08,9,9.4,8.8,9.2,39500000
SOUN,2026-04-09,9.2,9.7,9,9.5,40200000
SOUN,2026-04-10,9.5,9.9,9.2,9.7,40800000
SOUN,2026-04-13,9.7,10.1,9.4,9.9,41300000
SOUN,2026-04-14,9.9,10.4,9.7,10.2,41800000
SOUN,2026-04-15,10.2,10.6,9.9,10.4,42200000
SOUN,2026-04-16,10.4,10.9,10.1,10.7,42800000
SOUN,2026-04-17,10.7,11.2,10.4,10.9,43100000
SOUN,2026-04-20,10.9,11.4,10.6,11.2,43700000
SOUN,2026-04-21,11.2,11.7,10.9,11.5,44200000
AI,2026-04-06,35.6,36.2,35.1,35.9,9300000
AI,2026-04-07,35.9,36.5,35.4,36.2,9400000
AI,2026-04-08,36.2,36.9,35.8,36.5,9550000
AI,2026-04-09,36.5,37.2,36.1,36.8,9680000
AI,2026-04-10,36.8,37.5,36.4,37.1,9790000
AI,2026-04-13,37.1,37.9,36.7,37.4,9920000
AI,2026-04-14,37.4,38.2,37,37.7,10040000
AI,2026-04-15,37.7,38.5,37.3,38,10170000
AI,2026-04-16,38,38.8,37.6,38.3,10310000
AI,2026-04-17,38.3,39.1,37.9,38.6,10460000
AI,2026-04-20,38.6,39.4,38.2,38.9,10600000
AI,2026-04-21,38.9,39.8,38.5,39.3,10750000
FFAI,2026-04-06,0.31,0.33,0.30,0.32,91200000
